artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Varsity,"Cult of Personality - So Sad, So Sad",Cult of Personality,7wqu4L2r2BveD3Yzdwfi2h,0.502,0.804,2,-7.505,1,0.0263,0.403,0.0772,0.749,135.845,251304,4
Jinsang,Life,Affection,4p5eACHBSDSKxvPrN1Ej5p,0.698,0.193,1,-15.01,1,0.0902,0.937,0.0882,0.607,84.03,117495,4
Tomppabeats,Harbor,Monday Loop,5qC17VMNoZdF2gAw28FtsV,0.742,0.384,10,-8.533,1,0.043,0.00305,0.132,0.354,69.006,91505,3
Jack Garratt,Phase (Deluxe),The Love You're Given,5oNlBs0y1lB8tBA65E7abl,0.505,0.478,5,-10.997,0,0.081,0.172,0.251,0.0961,80.053,300213,4
Poppies,Double Single,Mistakes,4al26nE9ins5WpvD2Y6VRT,0.361,0.184,4,-10.161,1,0.032,0.303,0.101,0.086,71.848,309896,4
HOMESHAKE,In the Shower,Making a Fool of You,4AulWBJD41rXzIrD4ajvh7,0.498,0.346,4,-10.989,0,0.0468,0.235,0.0932,0.406,82.852,201777,4
HOMESHAKE,Fresh Air,Khmlwugh,6lsY0Qou7uMpOQZnQVqsFp,0.663,0.189,5,-12.372,1,0.0398,0.0137,0.307,0.141,72.998,215335,4
HOMESHAKE,Fresh Air,Every Single Thing,7yZTPEXSUqWw7sEYKKDv2N,0.816,0.255,6,-10.016,0,0.0416,0.00684,0.114,0.323,89.922,155528,4
HOMESHAKE,In the Shower,Home at Last,2HjukRh8jwoQm3MAuqwpib,0.55,0.473,9,-8.931,0,0.032,0.505,0.087,0.299,85.514,192103,4
Hippo Campus,South,Violet,6NbLlTH71bOgfTtFVY9HRm,0.253,0.845,4,-3.382,1,0.0659,4.99e-05,0.0532,0.442,167.352,245663,4
Hippo Campus,Bashful Creatures,Suicide Saturday,0scQIzgcOhnmfqfOTpRUFH,0.443,0.719,5,-5.555,1,0.033,0.0,0.227,0.559,155.895,212885,4
Hippo Campus,South - Single,South,64TjzuxG5PJ7payjphrOC0,0.532,0.548,1,-6.521,1,0.0291,0.0033,0.108,0.443,130.114,231469,4
Soccer Mommy,Clean,Last Girl,36EPiGjD3gbFllepV67Wet,0.473,0.634,0,-7.006,1,0.0336,3.56e-05,0.0762,0.539,120.571,215100,4
